city,date,no2
Lahore,2024-01-24,3.3809838587291663E-4
Karachi,2024-01-24,1.6490407471506983E-4
Islamabad,2024-01-24,1.721868334229448E-4
Faisalabad,2024-01-24,
Rawalpindi,2024-01-24,1.5126088187202689E-4
Multan,2024-01-24,
Peshawar,2024-01-24,8.866819860877949E-5
Gujranwala,2024-01-24,
Quetta,2024-01-24,1.8861570958692575E-5
Sialkot,2024-01-24,
Hyderabad,2024-01-24,5.148447769329658E-5
Bahawalpur,2024-01-24,1.923729115562231E-5
Sargodha,2024-01-24,
Sukkur,2024-01-24,
Larkana,2024-01-24,1.7165546338181478E-5
Lahore,2024-01-25,
Karachi,2024-01-25,7.110272568385278E-5
Islamabad,2024-01-25,
Faisalabad,2024-01-25,
Rawalpindi,2024-01-25,
Multan,2024-01-25,
Peshawar,2024-01-25,
Gujranwala,2024-01-25,
Quetta,2024-01-25,2.318453848467316E-5
Sialkot,2024-01-25,5.661172705696216E-5
Hyderabad,2024-01-25,5.275002701791084E-5
Bahawalpur,2024-01-25,3.674762924536473E-5
Sargodha,2024-01-25,
Sukkur,2024-01-25,
Larkana,2024-01-25,
Lahore,2024-01-26,2.0730555298421318E-4
Karachi,2024-01-26,1.3112543354859565E-4
Islamabad,2024-01-26,6.71200183113486E-5
Faisalabad,2024-01-26,1.3623817846858781E-4
Rawalpindi,2024-01-26,8.607544492419284E-5
Multan,2024-01-26,
Peshawar,2024-01-26,2.9177546927134802E-5
Gujranwala,2024-01-26,3.6446508619613165E-5
Quetta,2024-01-26,-3.9351265444871375E-6
Sialkot,2024-01-26,2.9711582493275945E-5
Hyderabad,2024-01-26,2.4042395472735188E-5
Bahawalpur,2024-01-26,
Sargodha,2024-01-26,2.387675133274632E-5
Sukkur,2024-01-26,8.737188759369446E-6
Larkana,2024-01-26,1.397177628470687E-5
Lahore,2024-01-27,1.2513143861836687E-4
Karachi,2024-01-27,1.231539632732536E-4
Islamabad,2024-01-27,1.3617187132042183E-4
Faisalabad,2024-01-27,6.289967613913186E-5
Rawalpindi,2024-01-27,1.638828759671504E-4
Multan,2024-01-27,3.475661978231507E-5
Peshawar,2024-01-27,3.7497744636592035E-5
Gujranwala,2024-01-27,3.436074532168645E-5
Quetta,2024-01-27,1.1603935316830953E-5
Sialkot,2024-01-27,4.318027727038596E-5
Hyderabad,2024-01-27,2.3406512021453355E-5
Bahawalpur,2024-01-27,1.9436556158946426E-5
Sargodha,2024-01-27,3.359137865388248E-5
Sukkur,2024-01-27,1.265130209736346E-5
Larkana,2024-01-27,2.6555897083339574E-5
Lahore,2024-01-28,2.8276309637645104E-4
Karachi,2024-01-28,5.6678845735677896E-5
Islamabad,2024-01-28,1.4971197211862818E-4
Faisalabad,2024-01-28,3.7304902945011486E-5
Rawalpindi,2024-01-28,1.8653080096043214E-4
Multan,2024-01-28,3.976060429041641E-5
Peshawar,2024-01-28,
Gujranwala,2024-01-28,5.6723892210778564E-5
Quetta,2024-01-28,8.317334336258254E-6
Sialkot,2024-01-28,5.700853461402966E-5
Hyderabad,2024-01-28,4.085911108296397E-5
Bahawalpur,2024-01-28,
Sargodha,2024-01-28,5.907882655732614E-5
Sukkur,2024-01-28,
Larkana,2024-01-28,
Lahore,2024-01-29,9.003157035093822E-5
Karachi,2024-01-29,5.5266905890143975E-5
Islamabad,2024-01-29,6.478310846265496E-5
Faisalabad,2024-01-29,7.916082180369685E-5
Rawalpindi,2024-01-29,7.484463155562249E-5
Multan,2024-01-29,4.215195277835524E-5
Peshawar,2024-01-29,3.5130618008148614E-5
Gujranwala,2024-01-29,4.638359885057269E-5
Quetta,2024-01-29,1.8902577360921923E-5
Sialkot,2024-01-29,3.320477283669642E-5
Hyderabad,2024-01-29,3.658833183369808E-5
Bahawalpur,2024-01-29,3.4242857598130065E-5
Sargodha,2024-01-29,3.2494767647416496E-5
Sukkur,2024-01-29,4.326618346007729E-5
Larkana,2024-01-29,3.621433290658132E-5
Lahore,2024-01-30,6.99463497614096E-5
Karachi,2024-01-30,7.133681374620354E-5
Islamabad,2024-01-30,
Faisalabad,2024-01-30,8.253048851241509E-5
Rawalpindi,2024-01-30,
Multan,2024-01-30,5.168474619175244E-5
Peshawar,2024-01-30,
Gujranwala,2024-01-30,
Quetta,2024-01-30,
Sialkot,2024-01-30,
