city,date,temp_c,wind_ms,precip_mm
Multan,2022-07-23,28.687896631812634,2.274018514021097,29.925035677219963
Peshawar,2022-07-23,28.45486014448312,0.9332700339364228,11.847055028059524
Gujranwala,2022-07-23,27.953148155405017,2.041627337936593,5.231540496759272
Quetta,2022-07-23,23.575794725776973,1.5943715508411758,6.503146251013535
Sialkot,2022-07-23,27.69062080039754,1.6116476714592878,9.567488846661337
Hyderabad,2022-07-23,28.822420921260118,3.8794280702277573,9.801457665722277
Bahawalpur,2022-07-23,28.71626972979658,1.8486638926014394,32.37129447790895
Sargodha,2022-07-23,28.817425985251816,2.4422311556610152,10.190712892291156
Sukkur,2022-07-23,29.571382024931836,1.6496138270512912,11.834813010865041
Larkana,2022-07-23,30.21620061523862,1.4936853976745117,2.4441483714741397
Lahore,2022-07-24,28.958169788227337,2.3202042217273964,4.248617038908488
Karachi,2022-07-24,27.586620031377322,5.134361854201827,36.461394084395586
Islamabad,2022-07-24,25.784879344933813,0.31887215219823345,15.075890857139688
Faisalabad,2022-07-24,28.955178926676012,2.403637983714094,8.175400143914143
Rawalpindi,2022-07-24,26.510984127063693,0.4588875955392291,10.217899178782305
Multan,2022-07-24,27.994499707976445,2.807425781122452,35.361219951114705
Peshawar,2022-07-24,26.74938482070081,0.44676148586864317,17.975563109433875
Gujranwala,2022-07-24,29.217478262995257,1.4525541743572457,3.4487715728473805
Quetta,2022-07-24,22.38961788991105,2.1188339488407326,9.989465450389469
Sialkot,2022-07-24,29.22929103320041,0.8172247863395029,1.2615751461872753
Hyderabad,2022-07-24,27.57624201793743,2.8059752400732685,25.643344161500675
Bahawalpur,2022-07-24,28.482582128199624,2.839707601808428,15.381948237097847
Sargodha,2022-07-24,28.719653345314782,1.783788566479885,22.50150796736063
Sukkur,2022-07-24,27.531775624041018,4.168242865353846,18.34019500294024
Larkana,2022-07-24,27.874651815780112,3.5093785401003936,40.554470638253584
Lahore,2022-07-25,28.171041186005823,2.1414224781329962,8.52045672003936
Karachi,2022-07-25,27.136997594408513,3.893208876411212,19.707081338157533
Islamabad,2022-07-25,25.571218180132007,1.0684376396979793,14.063269312156429
Faisalabad,2022-07-25,28.422295698276173,2.3191292684200375,9.942260007657916
Rawalpindi,2022-07-25,26.304104443688857,1.39850892485785,11.149914916585521
Multan,2022-07-25,28.0776190950084,2.2401493898676264,11.900035662835768
Peshawar,2022-07-25,28.053821625433272,1.0683739814132553,6.375685693449621
Gujranwala,2022-07-25,27.55282431383347,2.1525025477804984,15.991639814335459
Quetta,2022-07-25,21.294007906366062,2.8636222757069985,5.079388833525953
Sialkot,2022-07-25,27.395321167096995,1.7579159635473145,9.616707503583314
Hyderabad,2022-07-25,26.990733793502727,2.991156414958633,12.716450194687331
Bahawalpur,2022-07-25,28.25460773801001,1.555514862119459,13.225614430101384
